Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
72.750001455,1,72,700001454,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
84.300001686,2,84,150001683,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
97.800001956,3,97,400001948,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
106.800002136,4,106,750002135,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
118.800002376,5,118,300002366,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
133.800002676,6,133,700002674,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
134.300002686,7,134,200002684,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
134.800002696,8,134,650002693,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
135.300002706,9,135,100002702,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
135.800002716,10,135,800002716,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
136.300002726,11,136,250002725,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
136.800002736,12,136,700002734,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
137.300002746,13,137,200002744,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
137.800002756,14,137,750002755,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
138.300002766,15,138,250002765,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
146.300002926,16,145,750002915,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
155.800003116,17,155,650003113,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
167.300003346,18,166,800003336,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
194.300003886,19,193,900003878,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
197.800003956,20,197,700003954,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
209.800004196,21,209,550004191,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
224.800004496,22,224,650004493,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
225.300004506,23,225,200004504,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
225.800004516,24,225,600004512,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
226.300004526,25,226,150004523,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
226.800004536,26,226,750004535,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
248.800004976,27,248,450004969,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
257.800005156,28,257,400005148,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
269.300005386,29,268,850005377,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
282.300005646,30,282,5640,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
289.750005795,31,289,350005787,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
301.300006026,32,301,6020,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
