Time,data
114.050002281,1
119.750002395,2
237.650004753,3
258.700005174,4
263.50000527,5
402.350008047,6
503.450010069,7
526.900010538,8
546.700010934,9
645.100012902,10
666.100013322,11
768.700015374,12
793.150015863,13
801.650016033,14
932.650018653,15
937.50001875,16
1080.050021601,17
1181.00002362,18
1203.200024064,19
1319.950026399,20
1419.950028399,21
1443.400028868,22
1542.050030841,23
1564.650031293,24
1663.850033277,25
1685.800033716,26
1807.850036157,27
1925.100038502,28
2039.800040796,29
2044.950040899,30
2059.550041191,31
2133.300042666,32
2175.350043507,33
2305.800046116,34
2311.600046232,35
2325.150046503,36
2331.050046621,37
2415.700048314,38
2437.700048754,39
2539.900050798,40
2560.800051216,41
2662.00005324,42
2683.550053671,43
2781.900055638,44
2803.050056061,45
2808.200056164,46
2822.800056456,47
3036.50006073,48
3056.150061123,49
3173.800063476,50
3178.700063574,51
3282.900065658,52
3303.200066064,53
3308.350066167,54
3413.650068273,55
3435.550068711,56
3534.650070693,57
3556.800071136,58
3561.750071235,59
3576.700071534,60
3666.050073321,61
3691.200073824,62
3696.00007392,63
3709.950074199,64
3797.50007595,65
3817.700076354,66
3822.650076453,67
