Time,data
56.600001132,1
303.600006072,2
437.50000875,3
440.600008812,4
474.900009498,5
831.50001663,6
1005.300020106,7
1138.300022766,8
1178.900023578,9
1353.900027078,10
1495.0000299,11
1672.00003344,12
1791.800035836,13
1982.200039644,14
2154.300043086,15
2325.50004651,16
2474.700049494,17
2514.900050298,18
2671.100053422,19
2844.00005688,20
2856.00005712,21
3021.700060434,22
3318.00006636,23
3319.400066388,24
3321.100066422,25
3546.700070934,26
3662.700073254,27
3703.600074072,28
3998.00007996,29
4024.600080492,30
4197.50008395,31
4487.50008975,32
4488.900089778,33
4490.700089814,34
4859.400097188,35
4877.300097546,36
5039.100100782,37
