Time,data
174.950003499,1
334.00000668,2
494.350009887,3
652.50001305,4
856.300017126,5
1020.900020418,6
1178.650023573,7
1339.50002679,8
1505.750030115,9
1665.0000333,10
1872.300037446,11
2032.550040651,12
2236.350044727,13
2395.0000479,14
2611.350052227,15
2772.550055451,16
2935.350058707,17
3098.600061972,18
3264.400065288,19
3424.00006848,20
3646.700072934,21
3808.800076176,22
3967.950079359,23
4127.550082551,24
4291.700085834,25
4450.550089011,26
4617.800092356,27
4786.050095721,28
4946.200098924,29
5100.100102002,30
5260.300105206,31
5419.050108381,32
5578.800111576,33
5798.050115961,34
5960.200119204,35
6128.00012256,36
6293.800125876,37
6459.700129194,38
6619.100132382,39
6777.250135545,40
6937.400138748,41
7096.100141922,42
7306.800146136,43
7515.100150302,44
7730.200154604,45
7937.400158748,46
8162.700163254,47
8327.900166558,48
8536.800170736,49
