Time,data
33.300000666,1
133.300002666,2
160.550003211,3
189.750003795,4
254.00000508,5
438.100008762,6
498.700009974,7
541.50001083,8
675.550013511,9
791.400015828,10
873.450017469,11
977.450019549,12
995.700019914,13
1062.050021241,14
1185.300023706,15
1250.550025011,16
1372.50002745,17
1436.900028738,18
1559.800031196,19
1623.900032478,20
1724.850034497,21
1743.400034868,22
1875.200037504,23
2192.50004385,24
2293.250045865,25
2375.50004751,26
2477.200049544,27
2558.450051169,28
2659.900053198,29
2740.900054818,30
2924.00005848,31
3107.900062158,32
3230.050064601,33
3296.300065926,34
3477.600069552,35
3855.250077105,36
3954.800079096,37
3972.750079455,38
3979.800079596,39
4008.350080167,40
4144.150082883,41
4246.350084927,42
4390.800087816,43
4581.950091639,44
4708.200094164,45
4829.200096584,46
4864.50009729,47
4999.200099984,48
5178.600103572,49
5302.300106046,50
5366.150107323,51
5474.50010949,52
5492.00010984,53
5559.650111193,54
5751.100115022,55
5860.750117215,56
5879.350117587,57
