Time,data
364.150007283,1
514.850010297,2
665.850013317,3
816.850016337,4
969.00001938,5
1118.550022371,6
1269.550025391,7
1420.200028404,8
1570.700031414,9
1721.150034423,10
1873.250037465,11
2023.800040476,12
2176.00004352,13
2325.450046509,14
2476.150049523,15
2626.750052535,16
2778.50005557,17
2929.50005859,18
3080.650061613,19
3229.700064594,20
3382.800067656,21
3532.800070656,22
3685.300073706,23
3835.300076706,24
3985.800079716,25
4136.850082737,26
4288.900085778,27
4437.900088758,28
4588.900091778,29
