Time,data
194.100003882,1
209.900004198,2
378.350007567,3
532.050010641,4
547.100010942,5
705.100014102,6
720.200014404,7
890.050017801,8
1062.650021253,9
1226.50002453,10
1389.650027793,11
1553.400031068,12
1707.300034146,13
1878.300037566,14
2036.800040736,15
2052.100041042,16
2226.400044528,17
2258.600045172,18
2426.200048524,19
2441.700048834,20
2615.650052313,21
2963.200059264,22
3121.900062438,23
3137.450062749,24
3311.00006622,25
3634.400072688,26
3803.100076062,27
4128.600082572,28
4144.200082884,29
4301.850086037,30
4317.50008635,31
4485.800089716,32
4638.450092769,33
4653.150093063,34
4827.300096546,35
4996.600099932,36
