Time,data
1612100112.9690204,0
1612100135.4640136,1
1612100154.811163,2
1612100174.288479,3
1612100193.4343235,4
1612100212.7586532,5
1612100232.5628853,6
1612100251.7076478,7
1612100270.3142514,8
1612100289.4295404,9
1612100308.5083432,10
1612100328.1550953,11
1612100347.3964658,12
1612100366.141437,13
1612100385.7669365,14
1612100404.3713486,15
1612100423.492679,16
1612100442.4472392,17
1612100462.0678322,18
1612100480.4371858,19
1612100500.2091699,20
1612100518.932166,21
1612100538.086304,22
1612100557.7259545,23
1612100576.9627743,24
1612100596.1947095,25
1612100615.2943416,26
1612100634.4060764,27
1612100653.8400488,28
1612100673.6196067,29
