Time,data
308.850006177,1
365.200007304,2
421.650008433,3
479.150009583,4
536.00001072,5
591.750011835,6
649.750012995,7
709.100014182,8
765.450015309,9
822.200016444,10
879.400017588,11
937.750018755,12
995.50001991,13
1050.300021006,14
1105.50002211,15
1163.550023271,16
1220.300024406,17
1280.050025601,18
1336.900026738,19
1394.300027886,20
1451.150029023,21
1507.750030155,22
1564.750031295,23
1619.950032399,24
1675.800033516,25
1735.400034708,26
1793.900035878,27
1849.200036984,28
1907.650038153,29
