Time,data
270.950005419,1
282.050005641,2
327.100006542,3
338.400006768,4
383.350007667,5
394.250007885,6
439.700008794,7
450.650009013,8
497.150009943,9
508.150010163,10
554.100011082,11
565.400011308,12
609.950012199,13
620.700012414,14
667.800013356,15
678.700013574,16
727.250014545,17
738.150014763,18
783.600015672,19
794.600015892,20
840.400016808,21
851.300017026,22
897.750017955,23
908.700018174,24
955.850019117,25
966.600019332,26
1012.200020244,27
1023.250020465,28
1068.450021369,29
1079.300021586,30
1123.600022472,31
1134.450022689,32
1181.800023636,33
1193.100023862,34
1238.450024769,35
1249.450024989,36
1298.250025965,37
1309.250026185,38
1355.100027102,39
1365.750027315,40
1412.300028246,41
1423.200028464,42
1469.300029386,43
1480.250029605,44
1525.900030518,45
1537.100030742,46
1582.600031652,47
1593.550031871,48
1637.800032756,49
1648.800032976,50
1693.900033878,51
1704.850034097,52
1753.250035065,53
1764.200035284,54
1810.350036207,55
1821.350036427,56
1867.250037345,57
1878.00003756,58
1924.250038485,59
1935.100038702,60
