Time,data
123.150002463,1
183.100003662,2
243.900004878,3
306.400006128,4
369.550007391,5
432.600008652,6
494.400009888,7
557.100011142,8
619.650012393,9
681.350013627,10
746.750014935,11
807.900016158,12
869.950017399,13
934.600018692,14
996.950019939,15
1059.300021186,16
1122.750022455,17
1183.450023669,18
1245.400024908,19
1308.250026165,20
1371.100027422,21
1435.600028712,22
1497.850029957,23
1561.00003122,24
1624.650032493,25
1688.050033761,26
1752.400035048,27
1814.900036298,28
1876.700037534,29
