Time,data
1054.100021082,1
1127.150022543,2
1202.450024049,3
1276.200025524,4
1350.50002701,5
1424.200028484,6
1498.450029969,7
1579.300031586,8
1650.700033014,9
1724.650034493,10
1798.50003597,11
1875.50003751,12
1947.850038957,13
2023.300040466,14
2096.850041937,15
2173.050043461,16
2248.900044978,17
2323.300046466,18
2398.450047969,19
2472.950049459,20
2548.50005097,21
2621.450052429,22
2697.950053959,23
2774.400055488,24
2848.650056973,25
2923.800058476,26
2999.750059995,27
3073.650061473,28
3147.600062952,29
