Time,data
227.150004543,1
303.00000606,2
382.400007648,3
412.550008251,4
425.700008514,5
439.950008799,6
453.300009066,7
467.400009348,8
480.750009615,9
494.900009898,10
508.300010166,11
522.400010448,12
535.750010715,13
550.000011,14
563.250011265,15
577.450011549,16
590.850011817,17
605.0000121,18
629.750012595,19
648.400012968,20
720.900014418,21
795.250015905,22
878.050017561,23
983.100019662,24
1015.950020319,25
1058.700021174,26
1135.200022704,27
1206.50002413,28
1271.00002542,29
1362.250027245,30
1439.950028799,31
1520.0000304,32
1609.850032197,33
1686.250033725,34
1719.50003439,35
1765.050035301,36
1935.650038713,37
2009.700040194,38
2085.900041718,39
2332.800046656,40
2414.00004828,41
2494.150049883,42
2528.550050571,43
2572.750051455,44
2648.600052972,45
2683.700053674,46
2727.00005454,47
