Time,data
125.900002518,1
196.650003933,2
267.400005348,3
338.350006767,4
409.800008196,5
480.200009604,6
551.100011022,7
622.100012442,8
693.100013862,9
767.800015356,10
835.900016718,11
904.950018099,12
975.600019512,13
1047.700020954,14
1118.00002236,15
1187.250023745,16
1258.100025162,17
1328.800026576,18
1399.900027998,19
1471.600029432,20
1540.900030818,21
1611.900032238,22
1682.700033654,23
1753.200035064,24
1824.100036482,25
1895.600037912,26
1964.550039291,27
2035.850040717,28
2106.600042132,29
