Time,data
70.400001408,1
178.50000357,2
278.400005568,3
380.350007607,4
497.00000994,5
566.300011326,6
587.850011757,7
750.250015005,8
792.900015858,9
907.200018144,10
1189.400023788,11
1411.650028233,12
1468.650029373,13
1512.350030247,14
1570.950031419,15
1614.900032298,16
1718.550034371,17
1903.850038077,18
2003.550040071,19
2093.950041879,20
2504.650050093,21
2682.150053643,22
2787.800055756,23
2843.850056877,24
2973.600059472,25
3079.100061582,26
3126.450062529,27
3294.700065894,28
