Time,data
1614518652.841277,0
1614518693.733234,1
1614518739.759555,2
1614518778.4773633,3
1614518823.507164,4
1614518870.6814237,5
1614518916.6938095,6
1614518973.6802475,7
1614519021.508442,8
1614519069.3440757,9
1614519117.9195871,10
1614519165.7818968,11
1614519213.3088298,12
1614519259.867788,13
1614519307.5351164,14
1614519355.2008073,15
1614519400.6960242,16
1614519445.92541,17
1614519486.5950847,18
1614519534.086625,19
1614519580.7415326,20
1614519627.7640185,21
1614519674.2623615,22
1614519722.7668843,23
1614519768.9111724,24
1614519815.4307063,25
1614519862.4313624,26
1614519906.5931036,27
1614519953.2514946,28
1614520001.9123104,29
