Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1614518652.7911425,1,11,200000224,map,1.3364263905288616,10.997765441626514,0.0,0.0,0.0,0.0,0.0
1614518653.2919204,2,12,700000254,map,1.7328128630868431,10.930886707245516,0.0,0.0,0.0,0.0,0.0
1614518654.286648,3,15,750000315,map,2.621596296369636,10.719280495618992,0.0,0.0,0.0,0.0,0.0
1614518655.2864962,4,18,800000376,map,3.4952998298634044,10.50731451312387,0.0,0.0,0.0,0.0,0.0
1614518656.2863052,5,21,850000437,map,4.3937292334893066,10.287606335420223,0.0,0.0,0.0,0.0,0.0
1614518657.286743,6,24,850000497,map,2.9898065070071285,10.576362635532476,0.0,0.0,0.0,0.0,0.0
1614518658.2862213,7,27,900000558,map,4.889040777139734,10.138147091532861,0.0,0.0,0.0,0.0,0.0
1614518659.2867258,8,30,950000619,map,5.096920941531248,10.132255595886773,0.0,0.0,0.0,0.0,0.0
1614518660.4530284,9,34,680,map,5.109656583472773,10.133463637136432,0.0,0.0,0.0,0.0,0.0
1614518661.4530334,10,37,50000741,map,5.107293248950068,10.133422710038037,0.0,0.0,0.0,0.0,0.0
1614518662.4529889,11,40,100000802,map,5.109624133107179,10.133459754576954,0.0,0.0,0.0,0.0,0.0
1614518663.4533532,12,43,150000863,map,5.108231908255631,10.133153478400457,0.0,0.0,0.0,0.0,0.0
1614518664.4531698,13,46,200000924,map,9.208484607481674,9.322350057229844,0.0,0.0,0.0,0.0,0.0
1614518665.4530418,14,49,250000985,map,10.069368177439006,9.197864674797547,0.0,0.0,0.0,0.0,0.0
1614518666.4532933,15,52,300001046,map,10.951761012212305,9.02925963503677,0.0,0.0,0.0,0.0,0.0
1614518667.453529,16,55,350001107,map,11.786625014791131,8.88266143257592,0.0,0.0,0.0,0.0,0.0
1614518668.4531424,17,58,350001167,map,11.799994023463348,8.88096650969823,0.0,0.0,0.0,0.0,0.0
