Time,data
96.150001923,1
178.400003568,2
263.550005271,3
345.200006904,4
428.300008566,5
511.400010228,6
595.050011901,7
677.200013544,8
776.900015538,9
859.00001718,10
943.150018863,11
1056.350021127,12
1138.00002276,13
1233.800024676,14
1314.900026298,15
1397.00002794,16
1479.650029593,17
1563.300031266,18
1645.400032908,19
1736.600034732,20
1820.300036406,21
1903.450038069,22
1984.650039693,23
2070.900041418,24
2153.550043071,25
2237.700044754,26
2321.450046429,27
2401.700048034,28
2483.800049676,29
