Time,data
106.150002123,1
200.350004007,2
292.600005852,3
386.800007736,4
478.950009579,5
572.100011442,6
664.750013295,7
789.400015788,8
895.150017903,9
987.450019749,10
1081.250021625,11
1171.450023429,12
1264.700025294,13
1356.900027138,14
1459.600029192,15
1551.900031038,16
1649.150032983,17
1742.900034858,18
1838.100036762,19
1938.800038776,20
2044.550040891,21
2137.850042757,22
2230.100044602,23
2332.300046646,24
2437.550048751,25
2532.800050656,26
2624.00005248,27
2726.700054534,28
2819.350056387,29
