Time,data
1614518584.7076294,1
1614518687.2376108,2
1614518690.98747,3
1614518814.9876,4
1614518818.5375133,5
1614518830.427818,6
1614518868.737548,7
1614518872.6079178,8
1614518910.4375987,9
1614518988.9076514,10
1614519030.737469,11
1614519073.9376273,12
1614519077.5577493,13
1614519191.357695,14
1614519310.0374699,15
1614519353.1577494,16
1614519392.3280506,17
1614519395.8081357,18
1614519403.3381088,19
1614519506.9677563,20
1614519520.8175962,21
1614519559.8078997,22
1614519563.1176271,23
1614519575.8176534,24
