Time,data
1614516347.4704661,0
1614516382.0744784,1
1614516415.2392154,2
1614516448.5796707,3
1614516482.4359736,4
1614516516.2122517,5
1614516549.9605074,6
1614516583.263212,7
1614516617.0522428,8
1614516651.2724404,9
1614516683.7311172,10
1614516717.3847368,11
1614516752.460287,12
1614516787.4468977,13
1614516821.3054578,14
1614516854.547394,15
1614516888.4788666,16
1614516921.231017,17
1614516955.3398228,18
1614516988.0016801,19
1614517021.209281,20
1614517054.7198243,21
1614517088.1052,22
1614517121.4852068,23
1614517155.1054938,24
1614517188.746768,25
1614517221.3567824,26
1614517254.5374966,27
1614517288.0395522,28
1614517320.6796932,29
