Time,data
35.350000707,1
54.750001095,2
85.950001719,3
117.850002357,4
129.250002585,5
134.050002681,6
222.250004445,7
286.450005729,8
303.700006074,9
390.700007814,10
454.300009086,11
476.850009537,12
534.600010692,13
568.200011364,14
598.750011975,15
610.150012203,16
615.100012302,17
703.950014079,18
737.400014748,19
768.250015365,20
780.250015605,21
784.950015699,22
872.750017455,23
906.150018123,24
936.600018732,25
948.700018974,26
953.400019068,27
1041.700020834,28
1105.350022107,29
1198.650023973,30
1232.00002464,31
1262.50002525,32
1279.650025593,33
1367.100027342,34
1400.50002801,35
1431.100028622,36
1443.00002886,37
1447.600028952,38
1536.150030723,39
1599.700031994,40
1611.950032239,41
1616.350032327,42
1704.550034091,43
1768.300035366,44
1780.0000356,45
1784.650035693,46
1873.50003747,47
1906.900038138,48
1938.00003876,49
1950.050039001,50
1954.450039089,51
2042.050040841,52
2075.150041503,53
2106.050042121,54
2129.00004258,55
2247.950044959,56
2280.250045605,57
2378.50004757,58
2411.750048235,59
2443.00004886,60
2454.550049091,61
2459.50004919,62
2548.150050963,63
2581.400051628,64
2612.50005225,65
2635.600052712,66
2692.00005384,67
2755.700055114,68
2779.200055584,69
2834.050056681,70
2897.50005795,71
2920.300058406,72
2977.00005954,73
3010.400060208,74
3041.350060827,75
3052.900061058,76
3057.850061157,77
3209.350064187,78
3226.150064523,79
3313.450066269,80
3377.350067547,81
3389.050067781,82
3393.700067874,83
3545.650070913,84
3557.300071146,85
3561.850071237,86
3651.50007303,87
3684.700073694,88
3715.900074318,89
3727.450074549,90
3732.350074647,91
3821.00007642,92
3884.50007769,93
3896.250077925,94
3900.850078017,95
3989.650079793,96
4053.550081071,97
4076.050081521,98
4087.750081755,99
4383.650087673,100
4450.000089,101
4540.850090817,102
4683.200093664,103
5056.00010112,104
5195.600103912,105
