Time,data
59.350001187,1
90.700001814,2
102.550002051,3
107.100002142,4
194.650003893,5
228.100004562,6
258.900005178,7
281.900005638,8
338.050006761,9
371.700007434,10
402.600008052,11
419.550008391,12
506.850010137,13
540.250010805,14
570.750011415,15
582.450011649,16
587.350011747,17
675.300013506,18
738.950014779,19
756.00001512,20
905.250018105,21
927.900018558,22
984.400019688,23
1048.250020965,24
1070.800021416,25
1129.50002259,26
1193.250023865,27
1205.100024102,28
1209.750024195,29
1298.50002597,30
1362.300027246,31
1379.850027597,32
1465.800029316,33
1499.100029982,34
1530.450030609,35
1542.400030848,36
1546.600030932,37
1634.950032699,38
1698.650033973,39
1716.50003433,40
1803.100036062,41
1866.450037329,42
1877.850037557,43
1882.600037652,44
1971.900039438,45
2005.150040103,46
2036.50004073,47
2054.50004109,48
2139.400042788,49
2203.150044063,50
2214.300044286,51
2219.400044388,52
2308.300046166,53
2341.350046827,54
2372.50004745,55
2459.550049191,56
2523.150050463,57
2535.0000507,58
2539.650050793,59
2633.800052676,60
2735.550054711,61
2746.50005493,62
