Time,data
228.50000457,1
436.300008726,2
574.250011485,3
706.50001413,4
841.800016836,5
978.00001956,6
1368.200027364,7
1552.50003105,8
1692.400033848,9
1849.200036984,10
2003.400040068,11
2159.150043183,12
2300.800046016,13
2453.150049063,14
2589.900051798,15
2771.200055424,16
2922.550058451,17
3070.800061416,18
3224.650064493,19
3371.750067435,20
4108.600082172,21
4331.450086629,22
4461.600089232,23
4589.900091798,24
4738.650094773,25
4880.200097604,26
5032.100100642,27
5184.800103696,28
5323.600106472,29
