Time,data
61.950001239,1
66.050001321,2
73.750001475,3
120.550002411,4
178.50000357,5
237.950004759,6
266.800005336,7
334.650006693,8
345.600006912,9
390.600007812,10
444.100008882,11
464.900009298,12
470.600009412,13
525.750010515,14
584.600011692,15
606.250012125,16
659.900013198,17
715.600014312,18
737.900014758,19
795.0000159,20
931.100018622,21
988.00001976,22
1016.700020334,23
1047.800020956,24
1081.450021629,25
1090.650021813,26
1376.200027524,27
1406.300028126,28
1441.50002883,29
1480.250029605,30
1482.350029647,31
1512.200030244,32
1561.950031239,33
1591.300031826,34
1650.750033015,35
1701.600034032,36
1733.100034662,37
1767.850035357,38
1801.900036038,39
1858.750037175,40
1889.50003779,41
1920.700038414,42
1955.150039103,43
2011.300040226,44
2042.00004084,45
2110.700042214,46
2168.400043368,47
2252.150045043,48
2310.600046212,49
2334.300046686,50
2368.550047371,51
2404.100048082,52
2542.650050853,53
2599.950051999,54
2630.0000526,55
2664.200053284,56
2700.200054004,57
2715.400054308,58
2780.600055612,59
2810.200056204,60
2873.650057473,61
2932.00005864,62
2961.850059237,63
3023.800060476,64
3080.750061615,65
3111.650062233,66
3177.450063549,67
3234.100064682,68
3264.300065286,69
3327.600066552,70
3381.450067629,71
3411.00006822,72
3475.250069505,73
3484.600069692,74
4118.100082362,75
4150.000083,76
4176.200083524,77
4201.300084026,78
4246.200084924,79
4276.200085524,80
4284.600085692,81
4341.100086822,82
4357.050087141,83
4379.750087595,84
4413.800088276,85
4471.350089427,86
4542.050090841,87
4600.050092001,88
4621.400092428,89
4689.800093796,90
4748.850094977,91
4778.650095573,92
4840.650096813,93
4887.800097756,94
4902.600098052,95
4911.200098224,96
4952.100099042,97
4983.200099664,98
5042.050100841,99
5072.900101458,100
5137.900102758,101
5194.300103886,102
5215.900104318,103
5273.450105469,104
5331.550106631,105
5361.800107236,106
5398.200107964,107
5431.550108631,108
5545.600110912,109
