Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
54.200001084,1,54,150001083,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
117.700002354,2,117,650002353,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
142.200002844,3,142,100002842,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
157.700003154,4,157,250003145,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
172.200003444,5,171,750003435,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
197.700003954,6,197,650003953,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
207.200004144,7,206,900004138,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
226.200004524,8,226,100004522,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
226.700004534,9,226,500004530,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
227.200004544,10,227,100004542,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
227.700004554,11,227,600004552,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
228.200004564,12,228,100004562,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
232.700004654,13,232,400004648,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
261.700005234,14,261,650005233,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
298.200005964,15,297,850005957,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
313.200006264,16,313,100006262,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
328.200006564,17,328,6560,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
406.700008134,18,406,200008124,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
414.200008284,19,414,8280,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
432.700008654,20,432,650008653,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
433.200008664,21,433,100008662,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
433.700008674,22,433,600008672,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
434.200008684,23,434,50008681,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
434.700008694,24,434,400008688,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
438.700008774,25,438,450008769,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
489.200009784,26,488,700009774,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
504.200010084,27,504,150010083,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
519.200010384,28,519,10380,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
545.200010904,29,544,850010897,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
554.200011084,30,554,11080,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
572.700011454,31,572,550011451,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
573.200011464,32,573,150011463,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
573.700011474,33,573,600011472,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
574.200011484,34,574,100011482,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
574.700011494,35,574,200011484,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
578.700011574,36,578,300011566,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
624.200012484,37,624,12480,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
639.200012784,38,638,850012777,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
653.700013074,39,653,300013066,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
676.700013534,40,676,200013524,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
685.700013714,41,685,400013708,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
704.700014094,42,704,600014092,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
705.200014104,43,705,50014101,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
705.700014114,44,705,650014113,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
706.200014124,45,706,100014122,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
706.700014134,46,706,250014125,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
710.700014214,47,710,250014205,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
758.700015174,48,758,550015171,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
774.200015484,49,773,900015478,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
788.700015774,50,788,300015766,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
812.200016244,51,811,800016236,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
821.200016424,52,821,100016422,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
975.700019514,53,975,650019513,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
976.200019524,54,976,50019521,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
976.700019534,55,976,600019532,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
977.200019544,56,977,200019544,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
977.700019554,57,977,500019550,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
