Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
68.350001367,1,68,200001364,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
96.850001937,2,96,350001927,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
109.850002197,3,109,500002190,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
124.350002487,4,124,350002487,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
135.350002707,5,134,900002698,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
143.850002877,6,143,400002868,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
162.350003247,7,162,350003247,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
162.850003257,8,162,700003254,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
163.350003267,9,163,200003264,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
163.850003277,10,163,800003276,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
164.350003287,11,164,150003283,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
168.350003367,12,168,200003364,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
194.350003887,13,194,3880,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
213.850004277,14,213,600004272,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
228.850004577,15,228,650004573,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
243.350004867,16,243,200004864,map,18.42,6.96,0.0,0.0,0.0,0.0,1.0
266.850005337,17,266,750005335,map,20.77,5.47,0.0,0.0,0.0,0.0,1.0
276.350005527,18,276,50005521,map,23.0,0.95,0.0,0.0,0.0,0.0,1.0
294.850005897,19,294,700005894,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
295.350005907,20,295,300005906,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
295.850005917,21,295,700005914,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
296.350005927,22,296,200005924,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
296.850005937,23,296,400005928,map,-0.3,11.5,0.0,0.0,0.0,0.0,1.0
300.850006017,24,300,450006009,map,3.0,10.7,0.0,0.0,0.0,0.0,1.0
322.850006457,25,322,600006452,map,8.78,9.78,0.0,0.0,0.0,0.0,1.0
396.350007927,26,396,200007924,map,12.2,9.1,0.0,0.0,0.0,0.0,1.0
413.850008277,27,413,400008268,map,16.2,8.3,0.0,0.0,0.0,0.0,1.0
