Time,data
151.200003024,1
237.850004757,2
326.50000653,3
409.150008183,4
497.550009951,5
589.350011787,6
686.200013724,7
775.050015501,8
861.300017226,9
956.100019122,10
1046.300020926,11
1133.950022679,12
1222.150024443,13
1784.50003569,14
1872.350037447,15
1953.400039068,16
2038.700040774,17
2125.400042508,18
2203.750044075,19
2287.600045752,20
2373.50004747,21
2457.50004915,22
2543.800050876,23
2652.050053041,24
2740.400054808,25
2843.600056872,26
2931.300058626,27
3021.650060433,28
3136.900062738,29
