Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
85.0000017,1,84,800001696,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
96.50000193,2,96,250001925,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
110.0000022,3,109,600002192,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
122.00000244,4,121,600002432,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
133.50000267,5,133,300002666,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
149.00000298,6,148,900002978,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
149.50000299,7,149,450002989,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
150.000003,8,149,950002999,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
150.50000301,9,150,400003008,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
151.00000302,10,150,950003019,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
151.50000303,11,151,450003029,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
152.00000304,12,151,950003039,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
152.50000305,13,152,450003049,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
153.00000306,14,152,900003058,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
153.50000307,15,153,3060,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
166.00000332,16,165,650003313,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
174.50000349,17,174,300003486,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
186.00000372,18,185,700003714,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
199.50000399,19,199,3980,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
209.50000419,20,209,4180,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
220.50000441,21,220,250004405,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
235.50000471,22,235,300004706,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
236.00000472,23,235,950004719,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
236.50000473,24,236,400004728,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
237.00000474,25,236,900004738,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
237.50000475,26,237,150004743,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
248.00000496,27,247,600004952,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
256.450005129,28,256,450005129,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
268.00000536,29,267,900005358,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
292.50000585,30,292,5840,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
297.50000595,31,297,250005945,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
309.50000619,32,308,950006179,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
324.00000648,33,323,950006479,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
324.50000649,34,324,450006489,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
325.0000065,35,324,950006499,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
325.50000651,36,325,400006508,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
325.950006519,37,325,850006517,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
336.50000673,38,336,450006729,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
348.00000696,39,347,850006957,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
359.50000719,40,359,400007188,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
372.50000745,41,372,400007448,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
380.0000076,42,379,800007596,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
391.50000783,43,391,450007829,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
406.50000813,44,406,450008129,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
407.00000814,45,406,900008138,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
407.50000815,46,407,400008148,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
408.00000816,47,407,850008157,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
408.50000817,48,408,400008168,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
427.00000854,49,426,850008537,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
434.50000869,50,434,100008682,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
446.00000892,51,445,600008912,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
459.00000918,52,458,850009177,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
468.50000937,53,468,9360,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
479.50000959,54,479,300009586,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
494.50000989,55,494,450009889,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
495.0000099,56,494,900009898,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
495.50000991,57,495,400009908,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
496.00000992,58,495,950009919,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
496.50000993,59,496,450009929,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
497.00000994,60,496,650009933,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
510.0000102,61,509,600010192,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
524.50001049,62,524,10480,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
535.50001071,63,535,250010705,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
548.50001097,64,548,400010968,map,16.16,3.8,0.0,0.0,0.0,0.0,1.0
558.50001117,65,558,250011165,map,18.78,6.04,0.0,0.0,0.0,0.0,1.0
570.0000114,66,569,600011392,map,22.0,9.0,0.0,0.0,0.0,0.0,1.0
585.0000117,67,584,900011698,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
585.50001171,68,585,400011708,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
586.00001172,69,585,950011719,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
586.50001173,70,586,400011728,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
587.00001174,71,586,900011738,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
587.50001175,72,587,100011742,map,4.46,0.745,0.0,0.0,0.0,0.0,1.0
613.50001227,73,613,300012266,map,7.0,1.286,0.0,0.0,0.0,0.0,1.0
623.050012461,74,622,700012454,map,10.35,2.02,0.0,0.0,0.0,0.0,1.0
634.00001268,75,633,800012676,map,14.19,2.91,0.0,0.0,0.0,0.0,1.0
