Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
246.450004929,1,246,4920,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
269.450005389,2,269,200005384,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
296.950005939,3,296,550005931,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
309.950006199,4,309,850006197,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
310.450006209,5,310,300006206,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
310.950006219,6,310,800006216,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
311.450006229,7,311,300006226,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
311.950006239,8,311,600006232,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
318.950006379,9,318,600006372,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
346.950006939,10,346,450006929,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
366.450007329,11,366,7320,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
390.450007809,12,390,50007801,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
417.450008349,13,417,400008348,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
531.450010629,14,531,350010627,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
531.950010639,15,531,800010636,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
532.450010649,16,532,400010648,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
532.950010659,17,532,900010658,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
533.450010669,18,533,300010666,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
533.950010679,19,533,450010669,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
540.950010819,20,540,650010813,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
568.450011369,21,568,150011363,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
587.950011759,22,587,800011756,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
611.450012229,23,611,250012225,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
638.950012779,24,638,750012775,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
651.950013039,25,651,900013038,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
652.450013049,26,652,300013046,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
652.950013059,27,652,900013058,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
653.450013069,28,653,400013068,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
653.900013078,29,653,850013077,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
654.450013089,30,654,50013081,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
660.950013219,31,660,850013217,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
688.950013779,32,688,500013770,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
708.450014169,33,708,100014162,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
732.450014649,34,732,200014644,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
759.950015199,35,759,750015195,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
772.950015459,36,772,900015458,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
773.450015469,37,773,250015465,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
773.950015479,38,773,900015478,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
774.450015489,39,774,400015488,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
775.0000155,40,774,900015498,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
775.450015509,41,775,100015502,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
782.450015649,42,782,100015642,map,4.96,8.51,0.0,0.0,0.0,0.0,1.0
809.950016199,43,809,750016195,map,10.79,6.25,0.0,0.0,0.0,0.0,1.0
829.450016589,44,829,300016586,map,15.34,4.0,0.0,0.0,0.0,0.0,1.0
853.450017069,45,853,17060,map,19.52,2.79,0.0,0.0,0.0,0.0,1.0
881.450017629,46,881,150017623,map,23.0,1.0,0.0,0.0,0.0,0.0,1.0
894.450017889,47,894,300017886,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
894.950017899,48,894,800017896,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
895.450017909,49,895,300017906,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
895.950017919,50,895,750017915,map,0.17,10.59,0.0,0.0,0.0,0.0,1.0
