Time,data
335.250006705,1
511.900010238,2
652.850013057,3
799.550015991,4
1056.450021129,5
1194.700023894,6
1328.400026568,7
1530.150030603,8
1712.850034257,9
1891.150037823,10
2099.850041997,11
2317.00004634,12
2626.200052524,13
2727.100054542,14
2904.750058095,15
3100.400062008,16
3356.550067131,17
3613.750072275,18
3774.00007548,19
3985.150079703,20
4221.850084437,21
4451.50008903,22
4642.700092854,23
4805.900096118,24
5034.600100692,25
5228.350104567,26
5404.00010808,27
5528.100110562,28
5676.800113536,29
