Time,data
117.950002359,1
136.750002735,2
146.050002921,3
217.750004355,4
236.700004734,5
343.150006863,6
383.950007679,7
417.950008359,8
459.050009181,9
519.850010397,10
563.00001126,11
593.550011871,12
662.050013241,13
699.550013991,14
735.700014714,15
807.400016148,16
864.700017294,17
903.900018078,18
951.050019021,19
968.950019379,20
1005.900020118,21
1065.650021313,22
1095.350021907,23
1135.800022716,24
1204.00002408,25
1229.50002459,26
1273.150025463,27
1295.250025905,28
1337.650026753,29
1379.850027597,30
1413.550028271,31
1440.0000288,32
1455.900029118,33
1469.950029399,34
1539.300030786,35
1579.50003159,36
1614.300032286,37
1645.650032913,38
1720.700034414,39
1762.800035256,40
1795.450035909,41
1836.750036735,42
1899.100037982,43
1936.850038737,44
1973.200039464,45
1994.300039886,46
2024.100040482,47
2042.050040841,48
2108.300042166,49
2167.700043354,50
2201.900044038,51
2268.350045367,52
2326.600046532,53
2386.400047728,54
2419.100048382,55
2458.50004917,56
2466.150049323,57
2485.50004971,58
2500.150050003,59
2522.150050443,60
2540.350050807,61
2557.750051155,62
2577.450051549,63
2735.150054703,64
2812.600056252,65
2852.750057055,66
2914.050058281,67
2971.450059429,68
3010.650060213,69
3032.450060649,70
3109.800062196,71
3172.800063456,72
3258.50006517,73
3270.950065419,74
3291.750065835,75
3314.550066291,76
3326.850066537,77
3365.900067318,78
3424.200068484,79
3474.950069499,80
3483.750069675,81
3509.650070193,82
3528.200070564,83
3536.700070734,84
3623.100072462,85
3680.050073601,86
3721.250074425,87
3783.200075664,88
3824.650076493,89
3858.100077162,90
3899.200077984,91
3931.700078634,92
3945.900078918,93
3994.450079889,94
4036.300080726,95
4069.50008139,96
4101.550082031,97
4137.250082745,98
4167.950083359,99
4231.700084634,100
4290.250085805,101
4320.350086407,102
4348.200086964,103
4369.650087393,104
4388.00008776,105
4459.400089188,106
4517.650090353,107
4553.50009107,108
4652.050093041,109
4723.600094472,110
4815.200096304,111
4876.250097525,112
4906.00009812,113
4926.450098529,114
5042.850100857,115
5096.650101933,116
5129.900102598,117
5237.600104752,118
5280.050105601,119
5311.850106237,120
5350.250107005,121
5364.550107291,122
5413.300108266,123
5472.850109457,124
5537.650110753,125
5595.750111915,126
5605.800112116,127
5686.100113722,128
5746.00011492,129
5778.900115578,130
