Time,data
13.150000263,0
128.150002563,1
197.050003941,2
265.200005304,3
335.650006713,4
404.750008095,5
474.250009485,6
545.050010901,7
614.400012288,8
683.450013669,9
752.100015042,10
821.750016435,11
891.800017836,12
959.50001919,13
1030.700020614,14
1099.350021987,15
1167.450023349,16
1236.250024725,17
1306.50002613,18
1378.150027563,19
1445.200028904,20
1513.50003027,21
1584.750031695,22
1651.950033039,23
1722.700034454,24
1790.750035815,25
1862.850037257,26
1930.0000386,27
1999.100039982,28
2068.050041361,29
