Time,data
140.800002816,1
178.800003576,2
250.600005012,3
560.100011202,4
631.00001262,5
703.250014065,6
775.600015512,7
856.750017135,8
904.50001809,9
986.950019739,10
1036.700020734,11
1105.950022119,12
1176.350023527,13
1247.700024954,14
1405.750028115,15
1473.650029473,16
1573.150031463,17
1638.900032778,18
1703.300034066,19
1768.300035366,20
1834.950036699,21
1910.200038204,22
1923.900038478,23
1991.850039837,24
2039.700040794,25
2276.800045536,26
2358.850047177,27
2441.100048822,28
