Time,data
209.00000418,1
285.750005715,2
360.300007206,3
433.850008677,4
508.400010168,5
583.400011668,6
657.400013148,7
731.850014637,8
806.350016127,9
882.050017641,10
971.100019422,11
1044.650020893,12
1122.700022454,13
1196.700023934,14
1273.250025465,15
1347.050026941,16
1421.650028433,17
1496.150029923,18
1571.200031424,19
1645.50003291,20
1720.50003441,21
1796.550035931,22
1872.100037442,23
1945.600038912,24
2020.600040412,25
2097.800041956,26
2172.350043447,27
2245.850044917,28
2321.400046428,29
