Time,data
124.00000248,1
225.800004516,2
330.600006612,3
432.800008656,4
536.950010739,5
616.050012321,6
718.400014368,7
823.50001647,8
924.450018489,9
1004.900020098,10
1106.050022121,11
1209.00002418,12
1312.900026258,13
1393.650027873,14
1496.150029923,15
1599.350031987,16
1701.950034039,17
1804.850036097,18
1908.50003817,19
1987.100039742,20
2089.550041791,21
2194.00004388,22
2270.450045409,23
2347.950046959,24
2450.900049018,25
2555.850051117,26
2632.300052646,27
2736.100054722,28
2838.650056773,29
2918.350058367,30
