
Evaluation of esdf:
run_2: [39.5, 33.619, 0.851, 2]
run_3: [35.166, 31.678, 0.901, 1]
run_4: [35.167, 31.655, 0.9, 1]
run_5: [35.496, 31.894, 0.899, 0]
run_6: [35.0, 31.494, 0.9, 1]
run_7: [35.333, 31.795, 0.9, 0]
run_8: [35.0, 31.495, 0.9, 1]
run_9: [35.333, 31.798, 0.9, 0]
run_10: [35.333, 31.799, 0.9, 0]
run_11: [35.333, 31.804, 0.9, 1]
run_12: [35.167, 31.652, 0.9, 0]
run_13: [34.833, 31.347, 0.9, 0]
run_14: [34.833, 31.38, 0.901, 0]
run_15: [35.333, 31.829, 0.901, 1]
run_16: [35.167, 31.641, 0.9, 1]
run_17: [35.167, 31.65, 0.9, 0]
run_18: [34.833, 31.321, 0.899, 0]
run_19: [35.166, 31.654, 0.9, 0]
run_20: [35.0, 31.471, 0.899, 0]
run_21: [34.834, 31.318, 0.899, 0]
run_22: [35.0, 31.48, 0.899, 0]
run_23: [35.167, 31.661, 0.9, 0]
run_24: [35.0, 31.522, 0.901, 0]
run_25: [35.333, 31.812, 0.9, 0]
run_26: [35.166, 31.648, 0.9, 0]
run_27: [35.0, 31.504, 0.9, 0]
run_28: [35.334, 31.82, 0.901, 0]
run_29: [35.166, 31.616, 0.899, 0]
----------------------   esdf summary: ----------------------
average time:        35.292 s
average path length: 31.691 m
average velocity:    0.898  m/s
total number of collisions: 10
