episode,nearest distance for adult,nearest distance for child,nearest distance for elder,nearest distance for forklift,nearest distance for servicerobot,nearest distance for random_wanderer,reward,safe distance adult,safe distance child,safe distance elder,safe distance forklift,safe distance servicerobot,safe distance random_wanderer,done_reason
1.0,1.3933324022785405,10.619943358069538,5.803402450860391,8.046123611431668,7.697551132080997,5.6822514730900995,-1.32422623983669,1.4,1.32,2.0999999999999996,2.52,1.4,1.5,1.0
1.0,7.118739651267987,2.2127780759493554,2.913082235115047,12.975750811506742,13.440068188912242,4.3436007293693955,6.497819999999997,0.6,1.68,2.0999999999999996,2.52,1.4,1.5,2.0
1.0,2.9713569729745593,8.578230271674684,9.506502169586343,11.411168301165592,6.497933298641384,7.025235547246158,7.882889999999996,1.4,0.72,1.2000000000000002,2.52,1.4,1.5,2.0
1,8.097756544450284,8.277940735307466,8.4475031466682,,2.4639031507315434,4.367790303521529,7.730279999999999,0.9,0.96,1.35,,1.4,1.5,2
1.0,5.993530896285527,0.5476158840520448,1.9123994891247393,3.882738642514718,3.1676260406409935,1.5904061416179198,4.376125998887387,0.9,1.32,0.8999999999999999,2.52,1.4,1.5,2.0
1.0,4.371523334735418,7.225328177437782,13.490165494481213,1.8747356574537486,12.011954021867323,7.488244652386433,-3.4438780356980256,0.6,0.96,1.6500000000000001,2.52,1.4,1.5,1.0
1.0,1.8007951002227087,1.604874352692271,2.9204436076721887,8.193562867230254,6.9429779206755615,5.781822306763613,9.144249999999994,1.4,1.32,1.6500000000000001,2.52,1.4,1.5,2.0
1.0,12.600581387125402,4.1418537795943235,5.581856245444584,3.102892702210255,6.591329389016638,1.71413343518686,7.112460000000002,1.4,1.32,0.8999999999999999,2.52,0.6,1.5,2.0
1.0,12.382601881981143,3.1857910601650197,14.040653209594808,2.243890905222086,6.075295611987301,1.2149613005244304,-8.395205898660988,1.4,0.96,2.0999999999999996,2.52,1.4,1.5,2.0
1.0,1.4381138779547151,1.186042612940713,5.230436431774691,5.200158580536006,5.801578359234165,2.3068527661699174,4.027169999999995,1.1,0.96,1.6500000000000001,2.52,1.4,1.5,1.0
1.0,2.474725512993327,6.004751879849316,3.740058871464059,7.782687593939765,0.827648441440409,6.316470540678068,0.14532722503725193,1.4,1.68,1.35,2.52,1.4,1.5,1.0
1.0,5.964305774955322,2.4918395162903546,10.88834144235282,14.950986316309539,4.786966547081948,1.768659314481081,8.614320000000003,0.6,0.72,1.6500000000000001,2.52,1.4,1.5,2.0
2,5.461556184413279,8.042263445420188,,,2.7103412058812713,7.283706946486575,5.91596,1.1,1.32,,,1.4,1.5,2
1.0,1.8200113927967945,5.690590339246488,5.950738725889118,6.2478970986021025,6.2975139619809015,2.8360618698297424,11.06230000000001,1.4,1.08,0.8999999999999999,2.52,1.4,1.5,2.0
1.0,3.747693767821033,1.0635513419851244,7.1532290460233785,7.55476703326121,4.033092390175168,1.8196576957644721,10.078227220746362,0.9,1.68,1.6500000000000001,2.52,1.4,1.5,2.0
