2019-03-08 18:51:03, INFO: Current git head hash code: 6583db272e99270b8998bd3bc3583a07a9ebb33a
2019-03-08 18:51:03, INFO: Using device: cpu
2019-03-08 18:51:03, INFO: Policy: SARL w/o global state
2019-03-08 18:51:03, INFO: human number: 5
2019-03-08 18:51:03, INFO: Not randomize human's radius and preferred speed
2019-03-08 18:51:03, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2019-03-08 18:51:03, INFO: Square width: 10.0, circle width: 4.0
2019-03-08 18:51:03, INFO: Load reinforcement learning trained weights. Resume training
2019-03-08 18:51:03, INFO: Agent is invisible and has unicycle kinematic constraint
2019-03-08 18:51:03, INFO: Current learning rate: 0.001000
2019-03-08 18:54:26, INFO: TRAIN in episode 0 has success rate: 0.98, collision rate: 0.02, nav time: 10.69, total reward: 0.3214
2019-03-08 18:54:26, INFO: Experience set size: 4238/100000
2019-03-08 18:57:53, INFO: VAL   in episode 0 has success rate: 0.99, collision rate: 0.00, nav time: 10.05, total reward: 0.3514
2019-03-08 18:57:53, INFO: Frequency of being in danger: 0.53 and average min separate distance in danger: 0.16
2019-03-08 18:57:55, INFO: TRAIN in episode 0 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:57:58, INFO: TRAIN in episode 1 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:58:01, INFO: TRAIN in episode 2 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2883
2019-03-08 18:58:03, INFO: TRAIN in episode 3 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 18:58:05, INFO: TRAIN in episode 4 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 18:58:08, INFO: TRAIN in episode 5 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 18:58:11, INFO: TRAIN in episode 6 has success rate: 1.00, collision rate: 0.00, nav time: 13.00, total reward: 0.2610
2019-03-08 18:58:13, INFO: TRAIN in episode 7 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3302
2019-03-08 18:58:16, INFO: TRAIN in episode 8 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 18:58:19, INFO: TRAIN in episode 9 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3271
2019-03-08 18:58:22, INFO: TRAIN in episode 10 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3209
2019-03-08 18:58:25, INFO: TRAIN in episode 11 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2931
2019-03-08 18:58:28, INFO: TRAIN in episode 12 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3197
2019-03-08 18:58:31, INFO: TRAIN in episode 13 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3179
2019-03-08 18:58:34, INFO: TRAIN in episode 14 has success rate: 1.00, collision rate: 0.00, nav time: 12.00, total reward: 0.2900
2019-03-08 18:58:37, INFO: TRAIN in episode 15 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2735
2019-03-08 18:58:39, INFO: TRAIN in episode 16 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3017
2019-03-08 18:58:42, INFO: TRAIN in episode 17 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3211
2019-03-08 18:58:45, INFO: TRAIN in episode 18 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.2802
2019-03-08 18:58:47, INFO: TRAIN in episode 19 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:58:50, INFO: TRAIN in episode 20 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3067
2019-03-08 18:58:53, INFO: TRAIN in episode 21 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3213
2019-03-08 18:58:55, INFO: TRAIN in episode 22 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.2955
2019-03-08 18:58:58, INFO: TRAIN in episode 23 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 18:59:00, INFO: TRAIN in episode 24 has success rate: 1.00, collision rate: 0.00, nav time: 10.25, total reward: 0.3487
2019-03-08 18:59:03, INFO: TRAIN in episode 25 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:59:05, INFO: TRAIN in episode 26 has success rate: 1.00, collision rate: 0.00, nav time: 9.75, total reward: 0.3675
2019-03-08 18:59:07, INFO: TRAIN in episode 27 has success rate: 1.00, collision rate: 0.00, nav time: 9.00, total reward: 0.3978
2019-03-08 18:59:10, INFO: TRAIN in episode 28 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3021
2019-03-08 18:59:12, INFO: TRAIN in episode 29 has success rate: 1.00, collision rate: 0.00, nav time: 9.25, total reward: 0.3874
2019-03-08 18:59:14, INFO: TRAIN in episode 30 has success rate: 1.00, collision rate: 0.00, nav time: 10.00, total reward: 0.3580
2019-03-08 18:59:17, INFO: TRAIN in episode 31 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:59:20, INFO: TRAIN in episode 32 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3180
2019-03-08 18:59:22, INFO: TRAIN in episode 33 has success rate: 1.00, collision rate: 0.00, nav time: 11.50, total reward: 0.3057
2019-03-08 18:59:25, INFO: TRAIN in episode 34 has success rate: 1.00, collision rate: 0.00, nav time: 11.25, total reward: 0.3138
2019-03-08 18:59:28, INFO: TRAIN in episode 35 has success rate: 1.00, collision rate: 0.00, nav time: 12.75, total reward: 0.2537
2019-03-08 18:59:31, INFO: TRAIN in episode 36 has success rate: 1.00, collision rate: 0.00, nav time: 12.50, total reward: 0.2749
2019-03-08 18:59:33, INFO: TRAIN in episode 37 has success rate: 1.00, collision rate: 0.00, nav time: 10.50, total reward: 0.3396
2019-03-08 18:59:36, INFO: TRAIN in episode 38 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 18:59:39, INFO: TRAIN in episode 39 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 18:59:42, INFO: TRAIN in episode 40 has success rate: 1.00, collision rate: 0.00, nav time: 10.75, total reward: 0.3308
2019-03-08 18:59:45, INFO: TRAIN in episode 41 has success rate: 1.00, collision rate: 0.00, nav time: 11.00, total reward: 0.3222
2019-03-08 18:59:48, INFO: TRAIN in episode 42 has success rate: 1.00, collision rate: 0.00, nav time: 11.75, total reward: 0.2977
