#{"t_start": 1614212011.7333984, "env_id": null}
r,l,t,done_reason,is_success
-0.37874,651,1519.204012,0,0
2.9776,651,1525.778991,0,0
14.96241,194,1527.773994,2,1
0.00643,651,1534.354485,0,0
3.13627,651,1540.96952,0,0
1.92284,651,1547.60919,0,0
15.2562,85,1548.503961,2,1
15.05732,95,1549.520231,2,1
0.84401,651,1556.09006,0,0
14.59102,414,1560.315428,2,1
0.59409,651,1566.890429,0,0
0.40511,651,1573.471147,0,0
-0.23215,651,1580.050656,0,0
-1.94209,651,1586.705432,0,0
15.1932,271,1589.465426,2,1
15.04162,65,1590.16034,2,1
1.50723,651,1596.735983,0,0
15.0649,57,1597.355826,2,1
-0.38518,651,1603.954489,0,0
0.05047,651,1610.544593,0,0
-0.16388,651,1617.114633,0,0
0.03569,651,1623.68468,0,0
-1.20506,651,1630.254561,0,0
-2.13101,651,1636.824921,0,0
1.81167,651,1643.409645,0,0
0.68535,651,1649.990359,0,0
-0.62827,651,1656.540473,0,0
0.32722,651,1663.111674,0,0
0.54132,651,1669.728516,0,0
15.86889,499,1674.787885,2,1
0.24039,651,1681.398083,0,0
-0.46397,651,1688.028239,0,0
0.41962,651,1694.640401,0,0
0.12645,651,1701.249604,0,0
1.60909,651,1707.824883,0,0
0.15263,651,1714.424474,0,0
0.2031,651,1721.005482,0,0
16.07091,337,1724.429919,2,1
-19.83379,331,1727.820408,1,0
-18.27239,471,1732.599533,1,0
15.0519,132,3268.515855,2,1
16.87654,519,3273.767112,2,1
15.24308,197,3275.791466,2,1
14.57078,224,3278.076949,2,1
15.1301,262,3280.745895,2,1
15.22636,166,3282.45603,2,1
15.65089,332,3285.84149,2,1
14.96888,448,3290.405621,2,1
-0.86276,651,3297.026254,0,0
14.58375,485,3301.94628,2,1
-1.89872,651,3308.528271,0,0
-24.53306,335,3311.963793,1,0
15.17506,179,3313.810915,2,1
13.24393,533,3319.225954,2,1
-20.18344,241,3321.690884,1,0
15.05936,76,3322.495704,2,1
16.25185,319,3325.750999,2,1
15.89418,333,3329.154438,2,1
15.13427,211,3331.314685,2,1
15.18946,99,3332.349428,2,1
15.44841,184,3334.245411,2,1
15.3349,385,3338.149416,2,1
12.51974,424,3342.444423,2,1
15.76566,265,3345.154786,2,1
16.22602,390,3349.144934,2,1
15.7428,329,3352.515157,2,1
-20.10746,194,3354.540136,1,0
15.26036,308,3357.678752,2,1
2.30093,651,3364.285635,0,0
15.23176,183,3366.170756,2,1
15.9181,441,3370.661146,2,1
15.19055,150,3372.238457,2,1
15.03556,90,3373.203274,2,1
15.47158,468,3377.968643,2,1
-0.89687,651,3384.604991,0,0
0.41239,651,3391.20353,0,0
15.61971,342,3394.672607,2,1
14.6112,257,3397.377555,2,1
16.11543,391,3401.381767,2,1
-1.51099,651,3407.94751,0,0
15.23825,123,4954.181882,2,1
15.12731,113,4955.362125,2,1
16.6282,392,4959.374117,2,1
16.14592,309,4962.514193,2,1
15.3012,184,4964.419254,2,1
15.27338,173,4966.199327,2,1
15.2478,102,4967.274911,2,1
15.36456,149,4968.813819,2,1
15.44787,161,4970.46938,2,1
15.23935,130,4971.823951,2,1
15.70506,323,4975.124996,2,1
15.41525,155,4976.739152,2,1
16.17128,301,4979.799086,2,1
15.38371,183,4981.684232,2,1
14.27322,186,4983.594467,2,1
15.34954,200,4985.666113,2,1
15.37496,192,4987.63699,2,1
15.72078,362,4991.316518,2,1
15.7023,344,4994.833597,2,1
16.47107,407,4998.968348,2,1
-20.29236,316,5002.213328,1,0
15.33381,146,5003.782396,2,1
15.56431,259,5006.457608,2,1
15.78912,279,5009.318098,2,1
15.40722,154,5010.907258,2,1
15.70191,324,5014.243443,2,1
15.27726,135,5015.638539,2,1
15.50415,270,5018.393629,2,1
-24.16961,346,5021.918389,1,0
15.31384,124,5023.215841,2,1
15.47953,268,5025.951944,2,1
15.51279,195,5027.956147,2,1
17.25474,481,5032.861376,2,1
15.26262,264,5035.561307,2,1
15.25604,104,5036.650946,2,1
15.44347,229,5038.995671,2,1
-20.37295,362,5042.681339,1,0
15.24273,127,5044.015315,2,1
15.23106,115,5045.285794,2,1
15.58439,219,5047.533473,2,1
15.17237,206,6600.065351,2,1
14.51258,398,6604.127138,2,1
16.08071,462,6608.806586,2,1
-20.06598,441,6613.329834,1,0
-20.47422,169,6615.074848,1,0
0.07146,651,6621.666103,0,0
-0.21507,651,6628.250314,0,0
-20.37122,23,6628.535777,1,0
15.5521,201,6630.60541,2,1
15.10244,233,6632.990195,2,1
-19.23915,414,6637.263713,1,0
-21.20051,258,6639.907381,1,0
15.06828,166,6641.62226,2,1
15.19642,155,6643.237494,2,1
14.61396,382,6647.165109,2,1
3.32113,651,6653.775094,0,0
-20.5172,327,6657.12213,1,0
15.58796,427,6661.462059,2,1
15.5577,233,6663.856996,2,1
15.01535,89,6664.796975,2,1
-20.27475,20,6665.072022,1,0
0.32387,651,6671.657146,0,0
-20.22387,127,6672.987255,1,0
15.32836,138,6674.42206,2,1
-20.71307,203,6676.517133,1,0
15.27756,90,6677.47705,2,1
-20.64653,152,6679.062142,1,0
14.79734,159,6680.701998,2,1
15.2081,300,6683.767195,2,1
14.88716,225,6686.072174,2,1
15.19092,383,6689.997166,2,1
-20.10925,82,6690.87722,1,0
15.13618,89,6691.831769,2,1
-20.15357,314,6695.047468,1,0
15.19201,237,6697.486624,2,1
13.43139,513,6702.754957,2,1
14.66966,232,6705.139951,2,1
-20.23586,23,6705.449893,1,0
-20.10086,362,6709.203713,1,0
-20.57212,23,6709.498649,1,0
15.8314,304,8258.028686,2,1
-0.47361,651,8264.61762,0,0
15.47756,195,8266.616687,2,1
15.98227,371,8270.391823,2,1
15.33552,231,8272.751797,2,1
15.83626,300,8275.817112,2,1
15.29972,265,8278.523002,2,1
15.20677,234,8280.92338,2,1
14.82431,320,8284.177898,2,1
15.23196,519,8289.448058,2,1
15.73687,281,8292.317886,2,1
16.23873,329,8295.672983,2,1
15.30026,217,8297.897944,2,1
16.8702,603,8304.013321,2,1
2.89836,651,8310.614036,0,0
16.16923,408,8314.753449,2,1
15.26613,112,8315.943143,2,1
15.16162,173,8317.717727,2,1
15.01037,264,8320.407671,2,1
15.99518,536,8325.862956,2,1
15.07255,93,8326.837801,2,1
15.31337,300,8329.887816,2,1
-24.22496,110,8331.052684,1,0
-20.04845,229,8333.415382,1,0
15.201,86,8334.319812,2,1
15.25292,109,8335.471518,2,1
15.24027,154,8337.068079,2,1
-19.87291,435,8341.477959,1,0
0.21775,651,8348.06294,0,0
15.24689,213,8350.242772,2,1
-39.66167,651,8356.895047,0,0
15.95427,297,8359.925146,2,1
16.00157,330,8363.294519,2,1
16.04395,332,8366.684519,2,1
15.2087,103,8367.769646,2,1
15.05656,130,8369.124558,2,1
15.1742,148,8370.659491,2,1
15.23605,374,8374.46505,2,1
15.55998,466,8379.190587,2,1
0.87259,651,8385.834607,0,0
-0.89075,651,9936.726523,0,0
15.20189,133,9938.106413,2,1
15.08758,451,9942.693447,2,1
15.39286,311,9945.86274,2,1
15.08896,102,9946.928218,2,1
15.66688,293,9949.912641,2,1
15.03933,237,9952.337349,2,1
15.25877,102,9953.408123,2,1
15.41358,132,9954.792396,2,1
15.42438,226,9957.123387,2,1
-0.47162,651,9963.72805,0,0
15.47345,348,9967.278336,2,1
0.2073,651,9973.857812,0,0
14.06481,592,9979.848017,2,1
15.01559,205,9981.947598,2,1
15.10991,215,9984.142747,2,1
14.53386,502,9989.268612,2,1
15.33264,383,9993.158409,2,1
0.10675,651,9999.815382,0,0
15.41398,246,10002.321684,2,1
-20.60367,63,10003.012655,1,0
15.29365,308,10006.14341,2,1
15.41669,245,10008.648373,2,1
15.02463,130,10010.013403,2,1
-22.20527,103,10011.088205,1,0
15.91534,430,10015.453388,2,1
15.08507,179,10017.293385,2,1
15.13366,351,10020.863366,2,1
12.22955,357,10024.509149,2,1
15.17679,260,10027.15427,2,1
15.13855,107,10028.284062,2,1
15.02522,91,10029.249292,2,1
-21.91843,265,10031.96415,1,0
15.41036,528,10037.304351,2,1
-0.00965,651,10043.907089,0,0
-0.26759,651,10050.480019,0,0
6.4948,363,10054.189935,2,1
15.10922,314,10057.377437,2,1
-0.61826,651,10063.952353,0,0
-0.52031,651,10070.547505,0,0
