#{"t_start": 1614807429.8423104, "env_id": null}
r,l,t,done_reason,is_success
17.489143,579,2003.679679,2,1
15.885355,102,2005.695047,2,1
-15.649821,145,2008.083037,1,0
16.19868,136,2010.351678,2,1
17.07958,241,2015.22448,2,1
16.984001,237,2019.772064,2,1
-8.82747,379,2026.162525,1,0
18.577361,443,2033.523797,2,1
-14.119147,177,2036.96417,1,0
-10.2,1,2037.079266,1,0
16.970392,534,2045.705071,2,1
17.480227,394,2052.801087,2,1
15.470232,53,2053.926727,2,1
19.622249,808,2069.834305,2,1
16.29943,155,2072.53332,2,1
16.756667,203,2076.095187,2,1
15.897678,102,2078.249738,2,1
16.544831,231,2082.836857,2,1
17.803215,435,2090.140624,2,1
17.588018,545,2099.634797,2,1
18.171917,351,2106.675505,2,1
17.744684,323,2113.202039,2,1
-10.207537,126,2115.375215,1,0
15.283117,648,2126.185557,2,1
-14.07411,45,2127.157177,1,0
16.327891,156,2130.275583,2,1
16.269983,284,2135.025335,2,1
17.553481,526,2143.920067,2,1
16.012096,113,2146.156243,2,1
17.119165,283,2151.611364,2,1
15.677921,83,2153.147208,2,1
15.843223,96,2154.86722,2,1
16.394739,180,2158.547165,2,1
17.394476,276,2164.057265,2,1
16.169345,132,2166.321013,2,1
18.135636,370,2172.556776,2,1
-10.954938,77,2174.192894,1,0
-9.148924,308,2180.275541,1,0
-10.554218,120,2182.308806,1,0
17.462568,298,2187.599134,2,1
18.320454,537,4185.359965,2,1
18.225677,682,4197.351747,2,1
19.264832,511,4206.319819,2,1
17.537191,454,4215.528845,2,1
15.650847,161,4218.813038,2,1
19.357286,634,4229.197077,2,1
16.820613,235,4233.176674,2,1
14.121154,432,4241.707972,2,1
15.290718,112,4243.90803,2,1
16.760108,372,4250.108249,2,1
16.972292,228,4253.967527,2,1
16.288796,272,4259.363619,2,1
16.574274,175,4262.883703,2,1
16.612841,241,4266.935664,2,1
18.202345,439,4274.331425,2,1
17.768222,548,4285.231927,2,1
15.323301,61,4286.471401,2,1
15.404962,52,4287.379369,2,1
13.638149,346,4293.311916,2,1
16.463923,179,4296.967529,2,1
-10.641783,16,4297.376994,1,0
18.522865,562,4307.467989,2,1
-10.2,1,4307.612805,1,0
15.641184,74,4309.160074,2,1
16.505498,175,4312.705108,2,1
16.047015,163,4315.393693,2,1
16.622363,239,4319.314438,2,1
-11.211025,604,4331.353364,1,0
