World, EntropyRatio, MapSize, OccupancyRatio, NumObs_Cv2, AngleInfo_mean, distance_norm, distance_var, distance_avg
map35,0.006225280211124022,1250.0,0.3184,6,80.0,0.3,0.0,0.00693
map28,0.006417330256498594,1250.0,0.3516,10,288.0,0.5,1e-05,0.01228
map77,0.0051256109684227405,1250.0,0.4748,5,270.0,0.8,0.0,0.00982
map203,0.028262598699954133,5100.5,0.44427016959121657,14,276.9230769230769,0.5,0.0,0.01023
map54,0.005681627694438343,1250.0,0.3788,1,360.0,[],[],None
map50,0.0050677425718363344,1250.0,0.44720000000000004,2,180.0,1.0,0.0,0.0005
map59,0.005060136601925646,1250.0,0.5087999999999999,11,270.0,0.5,0.00411,0.40763
map83,0.00524775335595946,1250.0,0.4356,5,294.54545454545456,0.4,0.0,0.01396
map99,0.005101346354711526,1250.0,0.476,7,240.0,0.4,1e-05,0.01603
map14,0.004993664749801079,1250.0,0.48360000000000003,3,180.0,0.7,0.0,0.00715
map27,0.005289467450445943,1250.0,0.40559999999999996,2,360.0,1.0,0.0,0.0038
map73,0.005782740501435983,1250.0,0.366,6,60.0,0.3,0.0,0.00172
map47,0.00565153915971402,1250.0,0.39880000000000004,6,308.57142857142856,0.3,0.0,0.01068
map92,0.006063547245792487,1250.0,0.2992,6,120.0,0.3,0.0,0.00863
map66,0.006465982567668727,1250.0,0.28559999999999997,2,180.0,[],[],None
map92,0.005583932421737323,1250.0,0.366,2,180.0,[],[],None
map62,0.006059183382852475,1250.0,0.3296,7,120.0,0.7,0.0,0.01158
6672fa3b-aac3-48ef-882b-a62ffafe459b,0.01459508366602302,5000.0,0.5701,7,340.5405405405405,0.7,0.00012,0.02916
map15,0.006708255274427216,1250.0,0.246,18,125.21739130434783,0.6,1e-05,0.01243
map28,0.005771012317273614,1250.0,0.38160000000000005,2,360.0,1.0,0.0,0.007
map76,0.006376503475106289,1250.0,0.26239999999999997,2,180.0,[],[],None
map25,0.006475833812340505,1250.0,0.31000000000000005,9,180.0,0.4,0.0,0.00882
map80,0.00585448628859744,1250.0,0.33999999999999997,3,180.0,1.0,0.0,0.00815
map79,0.006714557101139758,1250.0,0.21440000000000003,1,360.0,[],[],None
map81,0.005014810816604145,1250.0,0.4988,2,180.0,1.0,0.0,0.00554
map34,0.006107365513363934,1250.0,0.39280000000000004,9,160.0,0.6,0.00017,0.07202
map55,0.005402811739674436,1250.0,0.4588,4,320.0,0.2,0.0,0.01638
map39,0.006464020102073455,1250.0,0.252,4,216.0,0.5,0.0,0.01195
map63,0.005961233729950497,1250.0,0.35119999999999996,8,196.36363636363637,0.5,1e-05,0.01172
map82,0.004847740736513111,1250.0,0.5072,4,360.0,0.5,2e-05,0.02457
map24,0.006377696233381408,1250.0,0.3408,22,72.0,0.5,0.0,0.01391
map11,0.006671895207511617,1250.0,0.26160000000000005,17,213.33333333333334,0.7,1e-05,0.01258
map48,0.006017423530491876,1250.0,0.33240000000000003,8,144.0,0.4,0.0,0.01376
map27,0.006265923472266408,1250.0,0.37760000000000005,13,110.76923076923077,0.5,0.0,0.01073
0733336d-7375-4c68-ac61-057f2561f565,0.014905269031355278,5000.0,0.5597,5,360.0,0.6,2e-05,0.02939
map100,0.005198596397213601,1250.0,0.4444,1,360.0,[],[],None
map9,0.0068767759504658535,1250.0,0.20799999999999996,13,110.76923076923077,0.6,0.0,0.01371
map81,0.0066719065007822655,1250.0,0.21919999999999995,2,180.0,[],[],None
